"","WORD","FREQ"
"38598","wine",63383
"12960","flavors",50905
"13866","fruit",36208
"1655","aromas",29796
"24689","palate",28382
"197","acidity",27197
"34326","tannins",26972
"12717","finish",26905
"10510","drink",24263
"6297","cherry",23269
"28888","ripe",21964
"3293","black",21707
"32192","spice",14990
"27982","red",14865
"23538","oak",14614
"23355","notes",14583
"28737","rich",14312
"23436","now",13745
"10576","dry",12871
"23311","nose",12717
"3009","berry",12548
"13701","fresh",12172
"26151","plum",11314
"31746","soft",11007
"13993","fruits",10953
"3305","blackberry",10529
"3498","blend",10207
"34784","texture",9994
"33883","sweet",9951
"1397","apple",9810
"30973","shows",9631
"23784","offers",9607
"4888","cabernet",9591
"9190","dark",9514
"8686","crisp",9351
"36953","vanilla",8972
"38120","well",8698
"19423","light",8654
"38387","white",8136
"12778","firm",8067
"4311","bright",8039
"14937","good",7929
"14104","full",7928
"6770","citrus",7852
"18060","juicy",7804
"25317","pepper",7789
"27729","raspberry",7535
"14050","fruity",7300
"6513","chocolate",7032
"15315","green",6994
"38543","will",6980
"39054","years",6827
"6044","character",6683
"29962","sauvignon",6608
"33172","structure",6525
"35577","touch",6394
"2244","balanced",6331
"19135","lemon",6328
"10468","dried",6298
"25899","pinot",6028
"32258","spicy",5770
"31623","smooth",5663
"25096","peach",5538
"25146","pear",5482
"38813","wood",5422
"34296","tannic",5418
"21334","merlot",5298
"34413","tart",5206
"7729","concentrated",5192
"16177","herb",5175
"19379","licorice",5170
"918","also",5078
"35278","toast",5007
"12672","fine",5001
"18112","just",4943
"32807","still",4928
"19507","like",4915
"8936","currant",4913
"481","age",4866
"14734","give",4849
"16188","herbal",4841
"20276","made",4808
"12933","flavor",4795
"3252","bit",4779
"19873","long",4688
"2242","balance",4662
"34861","theres",4621
"37471","vineyard",4584
"35317","tobacco",4554
"520","aging",4549
"9610","dense",4533
"33254","style",4473
"19032","leather",4468
"6089","chardonnay",4466
"23350","note",4446
"22330","mouth",4444
"33175","structured",4443
"16479","hint",4399
"14113","fullbodied",4340
"10809","earthy",4287
"882","along",4260
"35124","tight",4179
"9530","delicious",4163
"8607","creamy",4132
"24048","opens",4129
"11071","elegant",4110
"21628","mineral",4103
"22969","new",4091
"7635","complex",4088
"15293","great",4086
"883","alongside",4079
"30034","savory",4061
"18970","lead",4060
"6962","clean",4031
"27856","ready",3999
"23956","one",3968
"24096","orange",3943
"39117","yet",3939
"5582","cassis",3920
"19536","lime",3888
"16485","hints",3874
"31609","smoky",3874
"31460","slightly",3827
"34032","syrah",3814
"35180","time",3803
"7352","cola",3791
"38689","wines",3789
"6292","cherries",3774
"28763","richness",3771
"39160","young",3765
"22350","mouthfeel",3759
"37545","vintage",3754
"16244","herbs",3580
"7289","coffee",3556
"7111","clove",3381
"3155","big",3367
"3948","bottling",3237
"10785","earth",3231
"19730","little",3209
"12419","feels",3195
"9560","delivers",3189
"12410","feel",3152
"3071","best",3143
"38505","wild",3132
"31832","solid",3124
"19741","lively",3116
"13748","freshness",3108
"8193","core",3107
"30966","showing",3080
"7497","come",3018
"849","almost",3001
"6694","cinnamon",2975
"25817","pineapple",2970
"34464","tastes",2966
"31162","simple",2959
"34822","thats",2952
"33017","strawberry",2940
"23177","noir",2926
"2481","barrel",2918
"30953","show",2916
"26121","plenty",2914
"1932","attractive",2909
"14505","generous",2898
"7642","complexity",2895
"12724","finishes",2881
"7449","color",2859
"21651","minerality",2856
"17372","intense",2846
"15152","grapefruit",2834
"10853","easy",2804
"659","alcohol",2790
"35879","tropical",2777
"8528","cranberry",2762
"29338","round",2750
"35307","toasty",2726
"27495","quite",2715
"2218","baked",2695
"5748","cedar",2695
"19463","lightly",2694
"38084","weight",2689
"21223","melon",2673
"10932","edge",2662
"13115","floral",2659
"16598","honey",2648
"39082","yellow",2638
"30116","scents",2620
"20381","make",2595
"32240","spices",2593
"13557","franc",2591
"26790","pretty",2573
"7505","comes",2572
"14739","gives",2539
"31586","smoke",2504
"8812","crushed",2496
"21855","mocha",2488
"1501","apricot",2470
"26586","powerful",2463
"7741","concentration",2454
"31113","silky",2453
"33148","strong",2452
"14759","glass",2421
"3695","body",2414
"3605","blueberry",2411
"28144","refreshing",2406
"23637","oaky",2399
"34272","tangy",2386
"28808","riesling",2376
"15187","grapes",2370
"22424","much",2359
"17766","jammy",2341
"1203","anise",2338
"3935","bottle",2317
"35280","toasted",2302
"18951","layers",2280
"21097","medium",2252
"3691","bodied",2243
"23032","nice",2231
"3263","bitter",2210
"22847","needs",2209
"21833","mix",2194
"25443","perfumed",2193
"32897","stone",2186
"29017","roasted",2185
"20392","malbec",2181
"942","although",2171
"16347","high",2165
"13253","followed",2159
"3437","blanc",2145
"20149","lush",2139
"11397","enough",2104
"21718","mint",2104
"38013","way",2104
"21104","mediumbodied",2100
"35419","tones",2098
"466","aftertaste",2096
"23781","offering",2096
"11601","espresso",2079
"20886","mature",2077
"29342","rounded",2073
"3734","bold",2070
"9425","deep",2063
"2238","baking",2062
"3297","blackberries",2059
"9650","depth",2051
"9520","delicate",2036
"26579","power",2029
"17740","jam",2003
"10719","dusty",2001
"35361","together",1998
"15831","hard",1993
"37906","warm",1979
"33365","subtle",1978
"39256","zest",1969
"4350","brings",1961
"37489","vineyards",1951
"39278","zesty",1949
"20384","makes",1948
"12801","first",1939
"13941","fruitiness",1933
"13676","french",1932
"34787","textured",1930
"28829","right",1928
"23019","next",1925
"37338","vibrant",1910
"11302","end",1905
"8948","currants",1904
"3003","berries",1903
"21038","meat",1903
"13157","flower",1880
"34878","thick",1878
"29789","sangiovese",1877
"36905","valley",1875
"1670","aromatic",1872
"11724","even",1866
"33925","sweetness",1866
"38348","whiff",1864
"29237","rose",1859
"30417","seems",1859
"27778","rather",1844
"18996","lean",1839
"26315","polished",1837
"18947","layered",1831
"37164","velvety",1830
"27260","pure",1828
"11629","estate",1801
"491","aged",1798
"13448","forward",1792
"5333","caramel",1787
"34305","tannin",1782
"895","already",1781
"25370","peppery",1776
"31033","side",1776
"9784","develop",1768
"26814","price",1768
"10519","drinking",1759
"19642","lingering",1752
"4363","brisk",1749
"223","acids",1745
"15433","grilled",1731
"25583","petit",1727
"31974","sour",1721
"14740","giving",1709
"11915","exotic",1706
"5180","candied",1695
"20003","lovely",1690
"16086","heavy",1682
"5148","can",1677
"37236","verdot",1675
"23034","nicely",1670
"6410","chewy",1663
"33696","supple",1652
"13165","flowers",1648
"37606","violet",1646
"3999","bouquet",1644
"11066","elegance",1641
"24670","pair",1629
"11370","enjoy",1627
"1683","around",1624
"34237","tangerine",1623
"34457","taste",1617
"25222","peel",1609
"831","almond",1592
"27383","quality",1591
"17386","intensity",1584
"34522","tea",1574
"24628","packed",1571
"5801","cellar",1557
"6926","classic",1557
"39043","year",1554
"17051","impressive",1547
"37466","vines",1546
"4874","cab",1537
"30761","sharp",1532
"37041","varietal",1530
"19973","lots",1521
"27110","provide",1505
"24033","open",1501
"33426","sugar",1488
"30553","sense",1466
"294","add",1460
"22096","months",1452
"3602","blue",1449
"92","accents",1434
"29573","sage",1430
"34975","though",1426
"1444","apples",1418
"17357","integrated",1407
"36093","two",1405
"7233","cocoa",1362
"27726","raspberries",1362
"27134","prune",1360
"28908","ripeness",1358
"310","adds",1353
"13357","forest",1341
"8995","cut",1332
"26531","potential",1331
"3101","better",1325
"12727","finishing",1309
"13542","fragrant",1306
"7078","close",1304
"20543","many",1298
"24387","overall",1294
"23903","olive",1293
"35581","touches",1293
"89","accented",1291
"4795","buttered",1277
"2725","beautiful",1275
"26096","pleasant",1275
"10212","doesnt",1268
"35140","tightly",1264
"8088","cool",1263
"31240","sip",1258
"12004","expression",1256
"21512","midpalate",1244
"32976","straightforward",1236
"9721","despite",1232
"26932","produced",1225
"38296","wet",1220
"25729","pie",1219
"15140","grape",1204
"18048","juice",1200
"19238","length",1193
"31878","somewhat",1184
"1865","astringent",1177
"19025","least",1171
"18980","leaf",1170
"31909","soon",1168
"31568","smells",1167
"2726","beautifully",1161
"36354","underbrush",1158
"188","acidic",1154
"1649","aroma",1148
"38764","without",1148
"2144","backed",1142
"26196","plump",1140
"37058","variety",1137
"2137","back",1136
"27600","raisin",1136
"11081","elements",1130
"23871","old",1129
"29496","rustic",1126
"26207","plums",1116
"34155","take",1093
"1262","another",1087
"5508","carry",1087
"13829","front",1087
"30654","set",1086
"13207","focused",1085
"1378","appellation",1083
"33071","streak",1082
"24090","opulent",1077
"25585","petite",1077
"26228","plush",1077
"12683","finegrained",1068
"21274","menthol",1066
"27536","racy",1066
"19970","lot",1061
"15211","graphite",1057
"21550","mild",1055
"26341","pomegranate",1046
"27805","raw",1037
"1484","approachable",1034
"1084","ample",1032
"12666","find",1032
"32683","steely",1032
"39298","zinfandel",1032
"14863","go",1030
"17406","interesting",1028
"22824","nectarine",1024
"2779","beef",1020
"27284","purple",1019
"6631","chunky",1015
"13056","fleshy",1014
"20386","making",1013
"38679","winery",1013
"7244","coconut",1012
"35389","tomato",1010
"1366","appealing",1003
"3584","blossom",991
"263","across",990
"29058","robust",990
"16283","heres",989
"16712","hot",989
"31253","sirah",989
"6840","citrusy",984
"31350","skin",976
"11843","excellent",975
"13550","framed",972
"31792","soil",969
"16062","heat",967
"15460","grip",965
"31589","smoked",964
"30912","short",960
"28121","refined",956
"21060","meaty",955
"33465","suggest",954
"38647","winemaker",954
"19043","leathery",953
"14162","fully",950
"4779","butter",942
"5199","candy",937
"31533","small",937
"27879","really",936
"19218","lemony",935
"10253","dominate",934
"23508","nutmeg",930
"13277","food",925
"12025","extra",921
"20494","mango",916
"23771","offdry",916
"31750","soften",916
"22836","need",915
"32209","spiced",915
"35490","top",914
"34488","taut",912
"14526","gentle",911
"33712","support",911
"12159","fairly",910
"34382","tar",910
"18271","keep",909
"2666","bean",908
"38687","winerys",905
"4078","boysenberry",904
"8588","cream",902
"13106","floor",901
"9624","density",897
"14579","get",897
"30410","seem",895
"20928","may",894
"37591","viognier",888
"19415","lift",885
"16618","honeyed",882
"4385","broad",880
"29756","sandalwood",880
"3666","boasts",878
"3833","bordeaux",876
"1365","appeal",875
"21744","minty",872
"2172","bacon",871
"19232","lend",870
